packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto.prob.window,com.carrotsearch:hppc,null,null,77,77,1.0
org.aksw.palmetto.corpus.lucene.creation,org.slf4j:slf4j-api,null,null,31,224,0.14
org.aksw.palmetto.corpus.lucene.creation,junit:junit,null,null,18,224,0.08
org.aksw.palmetto.corpus.lucene.creation,commons-io:commons-io,null,null,2,224,0.01
org.aksw.palmetto.corpus.lucene.creation,com.carrotsearch:hppc,null,null,37,224,0.17
org.aksw.palmetto.corpus.lucene.creation,org.apache.lucene:lucene-core,null,null,136,224,0.61
org.aksw.palmetto.calculations.direct,junit:junit,null,null,42,42,1.0
org.aksw.palmetto.weight,junit:junit,null,null,24,24,1.0
org.aksw.palmetto.sum,junit:junit,null,null,24,24,1.0
org.aksw.palmetto.io,commons-io:commons-io,null,null,2,23,0.09
org.aksw.palmetto.io,org.slf4j:slf4j-api,null,null,15,23,0.65
org.aksw.palmetto.io,com.carrotsearch:hppc,null,null,6,23,0.26
org.aksw.palmetto.prob.decorator,org.slf4j:slf4j-api,null,null,5,34,0.15
org.aksw.palmetto.prob.decorator,com.carrotsearch:hppc,null,null,9,34,0.26
org.aksw.palmetto.prob.decorator,junit:junit,null,null,10,34,0.29
org.aksw.palmetto.prob.decorator,com.google.guava:guava,null,null,10,34,0.29
org.aksw.palmetto.calculations.indirect,junit:junit,null,null,33,59,0.56
org.aksw.palmetto.calculations.indirect,com.carrotsearch:hppc,null,null,26,59,0.44
org.aksw.palmetto.corpus,com.carrotsearch:hppc,null,null,9,9,1.0
org.aksw.palmetto.webapp.config,org.slf4j:slf4j-api,null,null,19,36,0.53
org.aksw.palmetto.webapp.config,commons-configuration:commons-configuration,null,null,17,36,0.47
org.aksw.palmetto.evaluate.correlation,junit:junit,null,null,18,18,1.0
org.aksw.palmetto.corpus.lucene,org.apache.lucene:lucene-analyzers-common,null,null,16,260,0.06
org.aksw.palmetto.corpus.lucene,org.slf4j:slf4j-api,null,null,18,260,0.07
org.aksw.palmetto.corpus.lucene,org.apache.lucene:lucene-core,null,null,147,260,0.57
org.aksw.palmetto.corpus.lucene,junit:junit,null,null,13,260,0.05
org.aksw.palmetto.corpus.lucene,com.carrotsearch:hppc,null,null,66,260,0.25
org.aksw.palmetto.prob,junit:junit,null,null,30,140,0.21
org.aksw.palmetto.prob,com.carrotsearch:hppc,null,null,110,140,0.79
org.aksw.palmetto.webapp,org.springframework:spring-test,null,null,2,78,0.03
org.aksw.palmetto.webapp,commons-io:commons-io,null,null,3,78,0.04
org.aksw.palmetto.webapp,junit:junit,null,null,39,78,0.5
org.aksw.palmetto.webapp,commons-configuration:commons-configuration,null,null,1,78,0.01
org.aksw.palmetto.webapp,org.slf4j:slf4j-api,null,null,19,78,0.24
org.aksw.palmetto.webapp,com.carrotsearch:hppc,null,null,14,78,0.18
org.aksw.palmetto,com.carrotsearch:hppc,null,null,9,20,0.45
org.aksw.palmetto,org.slf4j:slf4j-api,null,null,11,20,0.55
org.aksw.palmetto.subsets,junit:junit,null,null,24,146,0.16
org.aksw.palmetto.subsets,com.carrotsearch:hppc,null,null,122,146,0.84
org.aksw.palmetto.prob.bd,junit:junit,null,null,18,124,0.15
org.aksw.palmetto.prob.bd,com.carrotsearch:hppc,null,null,106,124,0.85
org.aksw.palmetto.vector,junit:junit,null,null,42,42,1.0
org.aksw.palmetto.aggregation,com.carrotsearch:hppc,null,null,8,8,1.0
org.aksw.palmetto.data,com.carrotsearch:hppc,null,null,17,17,1.0
