packageName,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.corpus,org.slf4j:slf4j-api,null,null,110,110,1.0
org.apdplat.word.dictionary,org.slf4j:slf4j-api,null,null,38,38,1.0
org.apdplat.word.solr,org.apache.lucene:lucene-core,null,null,2,20,0.1
org.apdplat.word.solr,org.apache.lucene:lucene-analyzers-common,null,null,1,20,0.05
org.apdplat.word.solr,org.slf4j:slf4j-api,null,null,17,20,0.85
org.apdplat.word.dictionary.impl,org.slf4j:slf4j-api,null,null,86,201,0.43
org.apdplat.word.dictionary.impl,junit:junit,null,null,115,201,0.57
org.apdplat.word.analysis,org.slf4j:slf4j-api,null,null,156,201,0.78
org.apdplat.word.analysis,junit:junit,null,null,45,201,0.22
org.apdplat.word.lucene,org.apache.lucene:lucene-core,null,null,201,237,0.85
org.apdplat.word.lucene,junit:junit,null,null,14,237,0.06
org.apdplat.word.lucene,org.apache.lucene:lucene-queryparser,null,null,6,237,0.03
org.apdplat.word.lucene,org.slf4j:slf4j-api,null,null,16,237,0.07
org.apdplat.word.util,junit:junit,null,null,40,319,0.13
org.apdplat.word.util,org.slf4j:slf4j-api,null,null,267,319,0.84
org.apdplat.word.util,redis.clients:jedis,null,null,12,319,0.04
org.apdplat.word.elasticsearch,org.slf4j:slf4j-api,null,null,6,45,0.13
org.apdplat.word.elasticsearch,org.elasticsearch:elasticsearch,null,null,34,45,0.76
org.apdplat.word.elasticsearch,org.apache.lucene:lucene-core,null,null,5,45,0.11
org.apdplat.word.vector,org.slf4j:slf4j-api,null,null,98,98,1.0
org.apdplat.word.segmentation,org.slf4j:slf4j-api,null,null,53,53,1.0
org.apdplat.word.segmentation.impl,org.slf4j:slf4j-api,null,null,118,126,0.94
org.apdplat.word.segmentation.impl,junit:junit,null,null,8,126,0.06
org.apdplat.word,org.slf4j:slf4j-api,null,null,58,58,1.0
org.apdplat.word.recognition,junit:junit,null,null,38,193,0.2
org.apdplat.word.recognition,org.slf4j:slf4j-api,null,null,155,193,0.8
org.apdplat.word.tagging,org.slf4j:slf4j-api,null,null,118,135,0.87
org.apdplat.word.tagging,com.belerweb:pinyin4j,null,null,17,135,0.13
