packageName,apis
org.apache.cassandra.service,[org.apache.cassandra:cassandra-all]
com.stratio.cassandra.lucene.testsAT.partitioning,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.indexes,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.analysis,"[com.github.rholder:snowball-stemmer,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.index,[junit:junit]
com.stratio.cassandra.lucene.testsAT.util,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,"[com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,com.vividsolutions:jts-core,junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.search.sort.builder,[junit:junit]
com.stratio.cassandra.lucene.testsAT.type_validation,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.deletion,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT,[junit:junit]
com.stratio.cassandra.lucene.testsAT.geospatial,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.builder,"[com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind,junit:junit]"
com.stratio.cassandra.lucene.testsAT.ttl,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.search.condition,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.search,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.issues,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.sort,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.story,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.util.monitoring,[org.jolokia:jolokia-client-java]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
