packageName,apis
org.aksw.palmetto.prob.window,[com.carrotsearch:hppc]
org.aksw.palmetto.corpus.lucene.creation,"[com.carrotsearch:hppc,commons-io:commons-io,junit:junit,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.direct,[junit:junit]
org.aksw.palmetto.weight,[junit:junit]
org.aksw.palmetto.sum,[junit:junit]
org.aksw.palmetto.io,"[com.carrotsearch:hppc,commons-io:commons-io,org.slf4j:slf4j-api]"
org.aksw.palmetto.prob.decorator,"[com.carrotsearch:hppc,com.google.guava:guava,junit:junit,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.indirect,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.corpus,[com.carrotsearch:hppc]
org.aksw.palmetto.webapp.config,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.evaluate.correlation,[junit:junit]
org.aksw.palmetto.corpus.lucene,"[com.carrotsearch:hppc,junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.prob,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.webapp,"[com.carrotsearch:hppc,commons-configuration:commons-configuration,commons-io:commons-io,junit:junit,org.slf4j:slf4j-api,org.springframework:spring-test]"
org.aksw.palmetto,"[com.carrotsearch:hppc,org.slf4j:slf4j-api]"
org.aksw.palmetto.subsets,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.prob.bd,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.vector,[junit:junit]
org.aksw.palmetto.aggregation,[com.carrotsearch:hppc]
org.aksw.palmetto.data,[com.carrotsearch:hppc]
