packageName,apis
proj.zoie.api,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.tools.luke,"[com.senseidb.zoie:zoie-core,it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.perf.tools,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,"[log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.store,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.dataprovider.jdbc,[log4j:log4j]
proj.zoie.test,"[it.unimi.dsi:fastutil,junit:junit,log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.hourglass.impl,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test.data,[org.apache.lucene:lucene-core]
proj.zoie.pair.impl,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.example.service.impl,"[com.senseidb.zoie:zoie-core,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser]"
proj.zoie.server,"[log4j:log4j,org.mortbay.jetty:jetty,org.mortbay.jetty:jetty-util]"
proj.zoie.perf.client,"[com.senseidb.zoie:zoie-core,com.yammer.metrics:metrics-core,commons-configuration:commons-configuration,it.unimi.dsi:fastutil,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.json:json,org.mortbay.jetty:jetty,org.mortbay.jetty:jetty-util]"
proj.zoie.perf.indexing,"[com.senseidb.zoie:zoie-core,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.dataprovider.jms,"[com.senseidb.zoie:zoie-core,junit:junit,log4j:log4j,org.mockito:mockito-all]"
proj.zoie.api.indexing,[org.apache.lucene:lucene-core]
