packageName,className,methodName,api,mcrCategories,mcrTags
org.dependencytrack.integrations.kenna,KennaSecurityUploader,name,none,none,none
org.dependencytrack.model,PortfolioMetrics,setSuppressed,none,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsFail,none,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsUnaudited,none,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsOperationalTotal,none,none,none
org.dependencytrack.model,Project,setAccessTeams,us.springett:alpine,null,null
org.dependencytrack.model,ProjectMetrics,setVulnerabilities,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setCwes,none,none,none
org.dependencytrack.persistence,QueryManager,makeViolationAnalysis,none,none,none
org.dependencytrack.search,ServiceComponentIndexer,getInstance,none,none,none
org.dependencytrack.integrations.kenna,KennaSecurityUploaderTest,testIntegrationMetadata,none,none,none
org.dependencytrack.model,FindingAttribution,getAttributedOn,none,none,none
org.dependencytrack.model,PortfolioMetrics,setInheritedRiskScore,none,none,none
org.dependencytrack.model,Project,getLastBomImportFormat,none,none,none
org.dependencytrack.model,Project,addAccessTeam,us.springett:alpine,null,null
org.dependencytrack.model,ProjectMetrics,getPolicyViolationsLicenseTotal,none,none,none
org.dependencytrack.model,VulnerableSoftware,setEdition,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setOverview,none,none,none
org.dependencytrack.parser.npm.model,Advisory,getVersion,none,none,none
org.dependencytrack.resources.v1,SearchResource,projectSearch,us.springett:alpine,null,null
org.dependencytrack.resources.v1,ServiceResource,.,us.springett:alpine,null,null
org.dependencytrack.resources.v1,UserResource,.,us.springett:alpine,null,null
org.dependencytrack.tasks,KennaSecurityUploadTask,.,us.springett:alpine,null,null
org.dependencytrack.event,VulnerabilityAnalysisEventTest,testProjectCriteria,none,none,none
org.dependencytrack.model,ComponentTest,testExtension,none,none,none
org.dependencytrack.model,DependencyMetricsTest,testUnassigned,none,none,none
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteMappingShouldIndicateNotFoundWhenGroupDoesNotExist,us.springett:alpine,null,null
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToTeamInvalidTeamTest,none,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByComponentUuidIncludeSuppressedTest,us.springett:alpine,null,null
org.dependencytrack.search,VulnerabilityIndexerTest,addTest,none,none,none
org.dependencytrack.search,VulnerabilityIndexerTest,removeTest,none,none,none
org.dependencytrack.model,Cwe,.,us.springett:alpine,null,null
org.dependencytrack.model,ExternalReference,setUrl,none,none,none
org.dependencytrack.model,ICpe,getTargetSw,none,none,none
org.dependencytrack.model,NotificationRule,getUuid,none,none,none
org.dependencytrack.model,ProjectMetrics,setPolicyViolationsSecurityUnaudited,none,none,none
org.dependencytrack.model,VulnerableSoftware,setCpe22,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setWithdrawnAt,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubVulnerability,getSeverity,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setUpdated,none,none,none
org.dependencytrack.parser.npm,NpmAuditParser,.,us.springett:alpine,null,null
org.dependencytrack.persistence,VulnerabilityQueryManager,getAllVulnerabilities,none,none,none
org.dependencytrack.tasks.repositories,MavenMetaAnalyzer,supportedRepositoryType,none,none,none
org.dependencytrack.util,XmlUtil,.,none,none,none
org.dependencytrack.model,ComponentTest,testCopyright,none,none,none
org.dependencytrack.model,NotificationPublisherTest,testDescription,none,none,none
org.dependencytrack.model,RepositoryTypeTest,testResolveHex,com.github.package-url:packageurl-java,null,null
org.dependencytrack.model,VulnerabilityTest,testCwe,none,none,none
org.dependencytrack.parser.common.resolver,CweResolverTest,testNegativeResolutionByInvalidCweId,none,none,none
org.dependencytrack.resources.v1,LicenseResourceTest,getLicensesConciseTest,none,none,none
org.dependencytrack.resources.v1,ProjectResourceTest,getProjectsDescOrderedRequestTest,none,none,none
org.dependencytrack.resources.v1,RepositoryResourceTest,getRepositoryMetaComponentInvalidPurlTest,us.springett:alpine,null,null
org.dependencytrack.util,DateUtilTest,testParseDate,none,none,none
org.dependencytrack.model,DependencyMetrics,getPolicyViolationsWarn,none,none,none
org.dependencytrack.model,PolicyCondition,setOperator,none,none,none
org.dependencytrack.model,PortfolioMetrics,setMedium,none,none,none
org.dependencytrack.persistence,PolicyQueryManager,addPolicyViolationIfNotExist,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,getComponents,us.springett:alpine,null,null
org.dependencytrack.resources.v1,AccessControlResource,retrieveProjects,us.springett:alpine,null,null
org.dependencytrack.resources.v1,LicenseGroupResource,updateLicenseGroup,us.springett:alpine,null,null
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,supportedRepositoryType,none,none,none
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,us.springett:alpine,null,null
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,com.github.package-url:packageurl-java,null,null
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,analyze,com.konghq:unirest-java,null,null
org.dependencytrack.tasks.scanners,CacheableScanTask,applyAnalysisFromCache,none,none,none
org.dependencytrack.notification,NotificationGroupTest,testEnums,none,none,none
org.dependencytrack.resources.v1,TeamResourceTest,deleteApiKeyTest,us.springett:alpine,null,null
org.dependencytrack.model,Cpe,getVersion,none,none,none
org.dependencytrack.model,PolicyCondition,setPolicy,none,none,none
org.dependencytrack.model,PortfolioMetrics,getPolicyViolationsInfo,none,none,none
