packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.integrations.kenna,KennaSecurityUploader,name,none,none
org.dependencytrack.model,PortfolioMetrics,setSuppressed,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsFail,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsUnaudited,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsOperationalTotal,none,none
org.dependencytrack.model,Project,setAccessTeams,null,null
org.dependencytrack.model,ProjectMetrics,setVulnerabilities,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setCwes,none,none
org.dependencytrack.persistence,QueryManager,makeViolationAnalysis,none,none
org.dependencytrack.search,ServiceComponentIndexer,getInstance,none,none
org.dependencytrack.integrations.kenna,KennaSecurityUploaderTest,testIntegrationMetadata,none,none
org.dependencytrack.model,FindingAttribution,getAttributedOn,none,none
org.dependencytrack.model,PortfolioMetrics,setInheritedRiskScore,none,none
org.dependencytrack.model,Project,getLastBomImportFormat,none,none
org.dependencytrack.model,Project,addAccessTeam,null,null
org.dependencytrack.model,ProjectMetrics,getPolicyViolationsLicenseTotal,none,none
org.dependencytrack.model,VulnerableSoftware,setEdition,none,none
org.dependencytrack.parser.npm.model,Advisory,setOverview,none,none
org.dependencytrack.parser.npm.model,Advisory,getVersion,none,none
org.dependencytrack.resources.v1,SearchResource,projectSearch,null,null
org.dependencytrack.resources.v1,ServiceResource,.,null,null
org.dependencytrack.resources.v1,UserResource,.,null,null
org.dependencytrack.tasks,KennaSecurityUploadTask,.,null,null
org.dependencytrack.event,VulnerabilityAnalysisEventTest,testProjectCriteria,none,none
org.dependencytrack.model,ComponentTest,testExtension,none,none
org.dependencytrack.model,DependencyMetricsTest,testUnassigned,none,none
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,deleteMappingShouldIndicateNotFoundWhenGroupDoesNotExist,null,null
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToTeamInvalidTeamTest,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilitiesByComponentUuidIncludeSuppressedTest,null,null
org.dependencytrack.search,VulnerabilityIndexerTest,addTest,none,none
org.dependencytrack.search,VulnerabilityIndexerTest,removeTest,none,none
org.dependencytrack.model,Cwe,.,null,null
org.dependencytrack.model,ExternalReference,setUrl,none,none
org.dependencytrack.model,ICpe,getTargetSw,none,none
org.dependencytrack.model,NotificationRule,getUuid,none,none
org.dependencytrack.model,ProjectMetrics,setPolicyViolationsSecurityUnaudited,none,none
