packageName,className,methodName,api,mcrCategories,mcrTags
com.novetta.clavin.gazetteer.query,Gazetteer,loadAncestry,none,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,getMatchCount,none,none,none
com.novetta.clavin.resolver,ClavinLocationResolverTest,resolveWithAncestryMode,none,none,none
com.novetta.clavin.extractor,LocationExtractor,extractLocationNames,none,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,parameters,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoName,getPreferredName,none,none,none
com.novetta.clavin.extractor,Entity,setConfidence,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getPrimaryCountryCode,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getFeatureCode,none,none,none
com.novetta.clavin.index,WhitespaceLowerCaseTokenizer,isTokenChar,none,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,.,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.util,ListUtilsTest,testZeroChunk,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.util,TextUtilsTest,testFileToString,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getTimezone,none,none,none
com.novetta.clavin.gazetteer,BasicGeoNameTest,testUTFAndMissingColumns,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testParseExceptions,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getName,none,none,none
com.novetta.clavin.gazetteer.query,QueryBuilder,ancestryMode,none,none,none
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsTopLevelAdminDivision,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver.multipart,DefaultScorer,getMinimumScore,none,none,none
com.novetta.clavin.util,DamerauLevenshtein,.,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,setUp,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer.query,GazetteerQuery,.,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testGetGeoName,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,.,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin,GeoParser,.,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsAncestryResolved_PartialResolution,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoName,getAdmin2Code,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getDigitalElevationModel,none,none,none
com.novetta.clavin.index,BinarySimilarityTest,testTF,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.index,BinarySimilarityTest,testTF,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsMassachusetts,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin,ClavinException,.,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getModificationDate,none,none,none
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,build,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.resolver,ResolvedLocation,getMatchedName,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getDigitalElevationModel,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getAncestryKey,none,none,none
com.novetta.clavin.resolver,LocationResolver,.,none,none,none
com.novetta.clavin.gazetteer,GeoName,setParent,none,none,none
com.novetta.clavin.index,IndexDirectoryBuilder,main,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.index,IndexDirectoryBuilder,main,commons-io:commons-io,I/O Utilities,io
com.novetta.clavin.index,IndexDirectoryBuilder,main,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser"
com.novetta.clavin.resolver,ClavinLocationResolverTest,testResolveLocations,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_ManualResolve_NullParent,junit:junit,Testing Frameworks,"testing,junit"
