packageName,className,methodName,mcrCategories,mcrTags
com.novetta.clavin.gazetteer.query,Gazetteer,loadAncestry,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,getMatchCount,none,none
com.novetta.clavin.resolver,ClavinLocationResolverTest,resolveWithAncestryMode,none,none
com.novetta.clavin.extractor,LocationExtractor,extractLocationNames,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,parameters,Testing Frameworks,junit
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,parameters,Testing Frameworks,testing
com.novetta.clavin.gazetteer,BasicGeoName,getPreferredName,none,none
com.novetta.clavin.extractor,Entity,setConfidence,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getPrimaryCountryCode,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getFeatureCode,none,none
com.novetta.clavin.index,WhitespaceLowerCaseTokenizer,isTokenChar,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,.,Logging Frameworks,slf4j
com.novetta.clavin.resolver.multipart,MatchedLocation,.,Logging Frameworks,api
com.novetta.clavin.resolver.multipart,MatchedLocation,.,Logging Frameworks,logging
com.novetta.clavin.util,ListUtilsTest,testZeroChunk,Testing Frameworks,junit
com.novetta.clavin.util,ListUtilsTest,testZeroChunk,Testing Frameworks,testing
com.novetta.clavin.util,TextUtilsTest,testFileToString,Testing Frameworks,junit
com.novetta.clavin.util,TextUtilsTest,testFileToString,Testing Frameworks,testing
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getTimezone,none,none
com.novetta.clavin.gazetteer,BasicGeoNameTest,testUTFAndMissingColumns,Testing Frameworks,junit
com.novetta.clavin.gazetteer,BasicGeoNameTest,testUTFAndMissingColumns,Testing Frameworks,testing
com.novetta.clavin.gazetteer,BasicGeoNameTest,testParseExceptions,Testing Frameworks,junit
com.novetta.clavin.gazetteer,BasicGeoNameTest,testParseExceptions,Testing Frameworks,testing
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getName,none,none
com.novetta.clavin.gazetteer.query,QueryBuilder,ancestryMode,none,none
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,Full-Text Indexing Libraries,index
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,Full-Text Indexing Libraries,full-text
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,Full-Text Indexing Libraries,apache
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,Full-Text Indexing Libraries,indexing
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getTopLevelBuilder,Full-Text Indexing Libraries,lucene
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsTopLevelAdminDivision,Testing Frameworks,junit
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsTopLevelAdminDivision,Testing Frameworks,testing
com.novetta.clavin.resolver.multipart,DefaultScorer,getMinimumScore,none,none
com.novetta.clavin.util,DamerauLevenshtein,.,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,setUp,Testing Frameworks,junit
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,setUp,Testing Frameworks,testing
com.novetta.clavin.gazetteer.query,GazetteerQuery,.,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testGetGeoName,Testing Frameworks,junit
