packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.agdistis.datatypes,Document,.,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,setNodeType,none,none,none
org.aksw.agdistis.graph,Node,addId,none,none,none
null,PageRankTest,soEqual,junit:junit,null,null
null,PageRankTest,soEqual,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.datatypes,NamedEntitiesInText,setNamedEntities,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setThreshholdTrigram,none,none,none
org.aksw.agdistis.datatypes,Label,setEnd,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.graph,Node,setCandidateURI,none,none,none
org.aksw.agdistis.util,Triple,getPredicate,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,setIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.graph,PageRank,runPr,none,none,none
null,PageRankTest,soEqualByRandomWalker,junit:junit,null,null
null,PageRankTest,soEqualByRandomWalker,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.util,TripleIndexCreator,main,org.slf4j:slf4j-api,null,null
null,TripleIndexCreatorTest,close,junit:junit,null,null
null,TripleIndexCreatorTest,close,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,NIFParser,.,com.googlecode.json-simple:json-simple,null,null
org.aksw.agdistis.util,NIFParser,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,Word2num,replaceNumbers,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getType,none,none,none
org.aksw.agdistis.util,NIFParser,createTextWithMentions,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndex,close,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexContext,close,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.model,NamedEntity,setDisambiguatedURL,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,NIFGerbil,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.graph,Node,getId,none,none,none
org.aksw.agdistis.datatypes,Candidate,setLabel,none,none,none
org.aksw.agdistis.datatypes,Candidate,setOutgoingEdgeCount,none,none,none
null,TripleIndexTest,testSurfaceForm,junit:junit,null,null
null,TripleIndexTest,testSurfaceForm,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,Candidate,compareTo,none,none,none
org.aksw.agdistis.model,AgdistisEntity,setStart,none,none,none
org.aksw.agdistis.model,CandidatesScore,.,none,none,none
null,TripleIndexCreatorTest,init,junit:junit,null,null
null,TripleIndexCreatorTest,init,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,getIndexContext,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,standardAG,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.webapp,GetDisambiguation,standardAG,com.googlecode.json-simple:json-simple,null,null
null,TripleIndexTest,testDisambiguation,junit:junit,null,null
null,TripleIndexTest,testDisambiguation,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,Document,compareTo,none,none,none
org.aksw.agdistis.graph,Node,addSuccesor,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchbyConnections,none,none,none
org.aksw.agdistis.model,Result,getNamedEntities,none,none,none
org.aksw.agdistis.datatypes,Candidate,getUrl,none,none,none
org.aksw.agdistis.model,NamedEntity,setType,none,none,none
org.aksw.agdistis.util,Utils,convertIntegers,none,none,none
org.aksw.agdistis.graph,Node,setHubWeight,none,none,none
org.aksw.agdistis.graph,Node,addPredecessor,none,none,none
org.aksw.agdistis.model,CandidatesScore,toString,none,none,none
org.aksw.agdistis.util,Triple,setPredicate,none,none,none
null,TripleIndexTest,testSurfaceFormsDistance,org.apache.lucene:lucene-spellchecker,null,null
null,TripleIndexTest,testSurfaceFormsDistance,org.slf4j:slf4j-api,null,null
null,TripleIndexTest,testSurfaceFormsDistance,junit:junit,null,null
org.aksw.agdistis.util,TripleIndex,.,com.google.guava:guava,null,null
org.aksw.agdistis.util,TripleIndex,.,commons-validator:commons-validator,null,null
org.aksw.agdistis.util,TripleIndex,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndex,.,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndex,.,org.apache.commons:commons-lang3,null,null
org.aksw.agdistis.graph,HITS,restrictEdges,none,none,none
org.aksw.agdistis.graph,Node,setPageRank,none,none,none
org.aksw.agdistis.util,TripleIndexContext,getIreader,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.model,FrontendContent,setText,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,candidateType,com.googlecode.json-simple:json-simple,null,null
org.aksw.agdistis.webapp,GetDisambiguation,candidateType,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreator,.,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreator,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.model,FrontendContent,toString,none,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,addNamedEntity,none,none,none
org.aksw.agdistis.model,CandidatesScore,setScore,none,none,none
org.aksw.agdistis.model,AgdistisEntity,.,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setEdgeType,none,none,none
null,PageRankTest,oneGetsMost,junit:junit,null,null
null,PageRankTest,oneGetsMost,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.algorithm,CandidateUtil,searchAcronymByLabel,none,none,none
org.aksw.agdistis.datatypes,Label,getMarkedupLabel,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,close,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.model,NamedEntity,setEnd,none,none,none
org.aksw.agdistis.algorithm,CorporationAffixCleaner,cleanLabelsfromCorporationIdentifier,none,none,none
org.aksw.agdistis.datatypes,Candidate,setUrl,none,none,none
org.aksw.agdistis.datatypes,Document,addNamedEntitiesInText,none,none,none
org.aksw.agdistis.datatypes,Label,setCandidates,none,none,none
org.aksw.agdistis.datatypes,Candidate,getDescription,none,none,none
org.aksw.agdistis.model,AgdistisEntity,setNamedEntity,none,none,none
org.aksw.agdistis.model,CandidatesScore,setUri,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,textToDocument,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,Triple,setSubject,none,none,none
org.aksw.agdistis.datatypes,Candidate,equals,none,none,none
org.aksw.agdistis.graph,Node,removeSuccesor,none,none,none
org.aksw.agdistis.model,NamedEntity,getDisambiguatedURL,none,none,none
org.aksw.agdistis.util,TripleIndexContext,getFromIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexContext,getFromIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,NamedEntityInText,setNamedEntity,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,.,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.model,FrontendContent,equals,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByUrl,none,none,none
null,AGDISTISTest,testMinimalExample,junit:junit,null,null
null,TripleIndexTest,init,junit:junit,null,null
null,TripleIndexTest,init,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,Document,getNamedEntitiesInText,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByScore,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getDomain,none,none,none
org.aksw.agdistis.datatypes,Label,setLabelId,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,org.apache.lucene:lucene-spellchecker,null,null
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndex,getIreader,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.model,AgdistisEntity,setOffset,none,none,none
org.aksw.agdistis.util,TripleIndexContext,search,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexContext,search,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexContext,search,com.google.guava:guava,null,null
org.aksw.agdistis.util,TripleIndexContext,search,org.apache.lucene:lucene-queryparser,null,null
org.aksw.agdistis.datatypes,Document,addText,none,none,none
org.aksw.agdistis.util,Stemming,stemming,edu.stanford.nlp:stanford-corenlp,null,null
org.aksw.agdistis.util,Stemming,stemming,com.github.haifengl:smile-nlp,null,null
org.aksw.agdistis.datatypes,Label,getLabel,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,clone,none,none,none
org.aksw.agdistis.model,NamedEntity,setStart,none,none,none
org.aksw.agdistis.webapp,RestletApplication,.,none,none,none
org.aksw.agdistis.model,Result,setNamedEntities,none,none,none
org.aksw.agdistis.datatypes,Label,setStart,none,none,none
org.aksw.agdistis.util,Triple,.,none,none,none
org.aksw.agdistis.datatypes,Document,toString,none,none,none
