packageName,className,methodName,mcrCategories,mcrTags
org.aksw.agdistis.datatypes,Document,.,none,none
org.aksw.agdistis.algorithm,CandidateUtil,setNodeType,none,none
org.aksw.agdistis.graph,Node,addId,none,none
null,PageRankTest,soEqual,null,null
null,PageRankTest,soEqual,null,null
org.aksw.agdistis.datatypes,NamedEntitiesInText,setNamedEntities,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setThreshholdTrigram,none,none
org.aksw.agdistis.datatypes,Label,setEnd,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,run,null,null
org.aksw.agdistis.graph,Node,setCandidateURI,none,none
org.aksw.agdistis.util,Triple,getPredicate,none,none
org.aksw.agdistis.algorithm,CandidateUtil,setIndex,null,null
org.aksw.agdistis.graph,PageRank,runPr,none,none
null,PageRankTest,soEqualByRandomWalker,null,null
null,PageRankTest,soEqualByRandomWalker,null,null
org.aksw.agdistis.util,TripleIndexCreator,main,null,null
null,TripleIndexCreatorTest,close,null,null
null,TripleIndexCreatorTest,close,null,null
org.aksw.agdistis.util,NIFParser,.,null,null
org.aksw.agdistis.util,NIFParser,.,null,null
org.aksw.agdistis.util,Word2num,replaceNumbers,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getType,none,none
org.aksw.agdistis.util,NIFParser,createTextWithMentions,null,null
org.aksw.agdistis.util,TripleIndex,close,null,null
org.aksw.agdistis.util,TripleIndexContext,close,null,null
org.aksw.agdistis.model,NamedEntity,setDisambiguatedURL,none,none
org.aksw.agdistis.webapp,GetDisambiguation,NIFGerbil,null,null
org.aksw.agdistis.graph,Node,getId,none,none
org.aksw.agdistis.datatypes,Candidate,setLabel,none,none
org.aksw.agdistis.datatypes,Candidate,setOutgoingEdgeCount,none,none
null,TripleIndexTest,testSurfaceForm,null,null
null,TripleIndexTest,testSurfaceForm,null,null
org.aksw.agdistis.datatypes,Candidate,compareTo,none,none
org.aksw.agdistis.model,AgdistisEntity,setStart,none,none
org.aksw.agdistis.model,CandidatesScore,.,none,none
