packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.palmetto.aggregation,Max,summarize,none,none,none
org.aksw.palmetto.calculations.direct,OlssonsConfirmationMeasure,determineJointProbability,none,none,none
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWord,com.carrotsearch:hppc,null,null
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,close,none,none,none
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,null,null
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,data,junit:junit,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.apache.lucene:lucene-core,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminer,.,none,none,none
org.aksw.palmetto.weight,WordSetSizeBasedWeighter,.,none,none,none
org.aksw.palmetto.calculations.indirect,VectorCreationTest,test,junit:junit,null,null
org.aksw.palmetto.subsets,OneAnyTest,.,junit:junit,null,null
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,setWindowSize,none,none,none
org.aksw.palmetto.data,CountedSubsets,setSegments,none,none,none
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,requestWordPositionsInDocuments,com.carrotsearch:hppc,null,null
org.aksw.palmetto.aggregation,Max,.,none,none,none
org.aksw.palmetto.calculations.direct,FitelsonConfirmationMeasure,.,none,none,none
org.aksw.palmetto.subsets,OneAny,.,none,none,none
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.calculations.direct,LogCondProbConfirmationMeasure,.,none,none,none
org.aksw.palmetto.calculations.direct,ShogenjisConfirmationMeasure,.,none,none,none
org.aksw.palmetto.data,SegmentationDefinition,.,com.carrotsearch:hppc,null,null
org.aksw.palmetto.prob,AbstractProbabilitySupplier,.,none,none,none
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,data,junit:junit,null,null
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.webapp,PalmettoApplication,cvService,org.slf4j:slf4j-api,null,null
