packageName,className,methodName,mcrCategories,mcrTags
org.aksw.palmetto.aggregation,Max,summarize,none,none
org.aksw.palmetto.calculations.direct,OlssonsConfirmationMeasure,determineJointProbability,none,none
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWord,null,null
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,close,none,none
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,null,null
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,data,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,create,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminer,.,none,none
org.aksw.palmetto.weight,WordSetSizeBasedWeighter,.,none,none
org.aksw.palmetto.calculations.indirect,VectorCreationTest,test,null,null
org.aksw.palmetto.subsets,OneAnyTest,.,null,null
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,setWindowSize,none,none
org.aksw.palmetto.data,CountedSubsets,setSegments,none,none
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,requestWordPositionsInDocuments,null,null
org.aksw.palmetto.aggregation,Max,.,none,none
org.aksw.palmetto.calculations.direct,FitelsonConfirmationMeasure,.,none,none
org.aksw.palmetto.subsets,OneAny,.,none,none
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,.,null,null
org.aksw.palmetto.calculations.direct,LogCondProbConfirmationMeasure,.,none,none
org.aksw.palmetto.calculations.direct,ShogenjisConfirmationMeasure,.,none,none
org.aksw.palmetto.data,SegmentationDefinition,.,null,null
org.aksw.palmetto.prob,AbstractProbabilitySupplier,.,none,none
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,data,null,null
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,.,null,null
org.aksw.palmetto.webapp,PalmettoApplication,cvService,null,null
org.aksw.palmetto.prob.decorator,FrequencyDeterminerDecorator,getDeterminer,none,none
org.aksw.palmetto.calculations.direct,AbstractUndefinedResultHandlingConfirmationMeasure,setResultIfCalcUndefined,none,none
org.aksw.palmetto.calculations.direct,RatioConfirmationMeasure,getName,none,none
org.aksw.palmetto.subsets,AllAll,getSubsetDefinition,null,null
org.aksw.palmetto.vector,AbstractVectorCreator,.,none,none
org.aksw.palmetto.subsets,AllOne,getSubsetDefinition,null,null
org.aksw.palmetto.subsets,OneAll,getName,none,none
org.aksw.palmetto.vector,AbstractVectorCreatorTest,.,none,none
org.aksw.palmetto.corpus.lucene.creation,LuceneIndexHistogramCreator,.,null,null
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,.,null,null
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,null,null
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,null,null
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,test,null,null
org.aksw.palmetto.calculations.indirect,DiceConfirmationMeasure,getName,none,none
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreator,.,null,null
org.aksw.palmetto.subsets,OneAll,.,none,none
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,determineCounts,null,null
org.aksw.palmetto.subsets,OneAll,getSubsetDefinition,null,null
org.aksw.palmetto.vector,VectorCreator,getVectorSpaceName,none,none
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,data,null,null
org.aksw.palmetto.webapp,PalmettoApplication,.,null,null
org.aksw.palmetto.webapp,PalmettoApplication,.,null,null
org.aksw.palmetto.calculations.direct,OlssonsConfirmationMeasure,.,none,none
org.aksw.palmetto.corpus,WindowSupportingAdapter,.,none,none
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,test,null,null
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,getDocumentSizeHistogram,none,none
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,data,null,null
org.aksw.palmetto.vector,AbstractVectorCreator,setMinFrequency,none,none
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestDocumentsWithWord,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplier,.,none,none
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,.,null,null
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,data,null,null
org.aksw.palmetto.data,SegmentationDefinition,hashCode,null,null
org.aksw.palmetto.prob.decorator,AbstractFrequencyDeterminerDecorator,.,none,none
org.aksw.palmetto.subsets,AnyAny,getName,none,none
org.aksw.palmetto.subsets,OnePrecedingTest,.,none,none
org.aksw.palmetto.calculations.indirect,VectorCreationTest,.,null,null
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,.,null,null
org.aksw.palmetto.vector,AbstractVectorCreatorTest,setFrequencyDeterminer,none,none
org.aksw.palmetto.data,SegmentationDefinition,setConditions,none,none
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,data,null,null
org.aksw.palmetto.data,SegmentationDefinition,getNeededCounts,null,null
