packageName,className,methodName,api,mcrCategories,mcrTags
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByGroups,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDateForHighNeighborhoodRange,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForAList,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDifferentVariance,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,org.mockito:mockito-all,null,null
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialWeightedScoring_Success,junit:junit,null,null
com.intuit.fuzzymatcher.domain,Document,getUnmatchedChildCount,org.apache.commons:commons-collections4,null,null
com.intuit.fuzzymatcher.domain,Document,getScoringFunction,none,none,none
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypesWithNonMatch,junit:junit,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldPreprocessAddress,junit:junit,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordTokenizerForName_Success,junit:junit,null,null
com.intuit.fuzzymatcher.domain,Match,getMaxDistinctScores,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunction,getNonPerfectMatchedElement,none,none,none
com.intuit.fuzzymatcher.component,ElementMatchTest,.,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDate,junit:junit,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForAddress,junit:junit,null,null
com.intuit.fuzzymatcher.domain,ElementClassification,.,none,none,none
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotMatch,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForSingleDoc,junit:junit,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,addressPreprocessing,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,org.mockito:mockito-all,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,numericValue,none,none,none
com.intuit.fuzzymatcher.function,TokenizerFunction,wordSoundexEncodeTokenizer,commons-codec:commons-codec,null,null
com.intuit.fuzzymatcher.domain,Element,getChildCount,none,none,none
com.intuit.fuzzymatcher.domain,Match,getData,none,none,none
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigDataForMemoryPerf,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithAge,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,getDate,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,getMockChildScores,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialScoring_Success,junit:junit,null,null
com.intuit.fuzzymatcher.domain,ElementClassification,getVariance,none,none,none
com.intuit.fuzzymatcher.function,PreProcessFunction,numberPreprocessing,none,none,none
com.intuit.fuzzymatcher.domain,ElementTest,itShouldSetTokenizerFunction,junit:junit,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Success,junit:junit,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldReturnNGramTokenForSmallStrings_Success,junit:junit,null,null
com.intuit.fuzzymatcher.function,TokenizerFunction,getNGramTokens,none,none,none
