packageName,className,methodName,mcrCategories,mcrTags
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByGroups,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDateForHighNeighborhoodRange,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForAList,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDifferentVariance,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithScoreNotMoreThanOne,null,null
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialWeightedScoring_Success,null,null
com.intuit.fuzzymatcher.domain,Document,getUnmatchedChildCount,null,null
com.intuit.fuzzymatcher.domain,Document,getScoringFunction,none,none
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypesWithNonMatch,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldPreprocessAddress,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordTokenizerForName_Success,null,null
com.intuit.fuzzymatcher.domain,Match,getMaxDistinctScores,none,none
com.intuit.fuzzymatcher.function,ScoringFunction,getNonPerfectMatchedElement,none,none
com.intuit.fuzzymatcher.component,ElementMatchTest,.,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDate,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetWordSoundexEncodeTokenizerForAddress,null,null
com.intuit.fuzzymatcher.domain,ElementClassification,.,none,none
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldNotMatch,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchByDocIdForSingleDoc,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,addressPreprocessing,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForMultipleEmptyPhoneNumber,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,numericValue,none,none
com.intuit.fuzzymatcher.function,TokenizerFunction,wordSoundexEncodeTokenizer,null,null
com.intuit.fuzzymatcher.domain,Element,getChildCount,none,none
com.intuit.fuzzymatcher.domain,Match,getData,none,none
com.intuit.fuzzymatcher.component,MatchServicePerfTest,itShouldApplyMatchForBigDataForMemoryPerf,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithAge,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,getDate,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,getMockChildScores,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGetExponentialScoring_Success,null,null
com.intuit.fuzzymatcher.domain,ElementClassification,getVariance,none,none
com.intuit.fuzzymatcher.function,PreProcessFunction,numberPreprocessing,none,none
com.intuit.fuzzymatcher.domain,ElementTest,itShouldSetTokenizerFunction,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Success,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldReturnNGramTokenForSmallStrings_Success,null,null
com.intuit.fuzzymatcher.function,TokenizerFunction,getNGramTokens,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithDoubleType,null,null
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchElementsWithRepeatingTokens,null,null
com.intuit.fuzzymatcher.domain,Match,getWeight,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveWeightedAverageScore_Success,null,null
com.intuit.fuzzymatcher.domain,Element,hashCode,none,none
com.intuit.fuzzymatcher.domain,Score,toString,none,none
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction2,null,null
