filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,37,ObjectCreationExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,37,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,37,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,33,27,ObjectCreationExpr,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,48,ObjectCreationExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,48,ObjectCreationExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,48,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,21,35,ClassOrInterfaceType,java.lang.InterruptedException,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,21,57,ClassOrInterfaceType,java.io.IOException,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,22,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,23,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,24,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,25,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,27,VariableDeclarator,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,27,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,27,27,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,30,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,33,16,VariableDeclarator,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,34,12,VariableDeclarator,org.aksw.agdistis.datatypes.Document,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,37,23,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntitiesInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,38,VariableDeclarator,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,38,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,38,38,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,39,26,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,40,11,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,43,26,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,44,11,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,4,FieldAccessExpr,java.io.PrintStream,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,3,NameExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,3,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,3,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,15,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,23,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,3,NameExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,3,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,3,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,15,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,22,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,30,42,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,30,99,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,34,16,NameExpr,org.aksw.agdistis.webapp.GetDisambiguation,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,34,49,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,35,3,NameExpr,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,35,16,NameExpr,org.aksw.agdistis.datatypes.Document,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,37,39,NameExpr,org.aksw.agdistis.datatypes.Document,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,39,40,NameExpr,org.aksw.agdistis.datatypes.NamedEntitiesInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,40,30,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,4,NameExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,4,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,4,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,16,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,29,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,43,40,NameExpr,org.aksw.agdistis.datatypes.NamedEntitiesInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,44,30,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,4,NameExpr,java.lang.System,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,23,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,57,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,15,NameExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,15,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,15,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,27,NameExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,58,NameExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,20,2,MarkerAnnotationExpr,org.junit.Test,true,junit:junit,null,null
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,28,3,MethodCallExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,29,3,MethodCallExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,34,16,MethodCallExpr,org.aksw.agdistis.webapp.GetDisambiguation,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,35,3,MethodCallExpr,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,37,39,MethodCallExpr,org.aksw.agdistis.datatypes.Document,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,40,30,MethodCallExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,41,4,MethodCallExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,44,30,MethodCallExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,4,MethodCallExpr,java.io.PrintStream,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,45,23,MethodCallExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,4,MethodCallExpr,org.junit.Assert,true,junit:junit,null,null
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,15,MethodCallExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,15,MethodCallExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testUmlaute,46,27,MethodCallExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,37,ObjectCreationExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,37,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,37,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,68,27,ObjectCreationExpr,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,48,ObjectCreationExpr,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,48,ObjectCreationExpr,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,48,ObjectCreationExpr,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,52,42,ClassOrInterfaceType,java.lang.InterruptedException,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,52,64,ClassOrInterfaceType,java.io.IOException,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,53,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,54,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,55,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,56,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,57,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,58,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,27,VariableDeclarator,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,27,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,60,27,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,65,10,VariableDeclarator,java.lang.String,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,68,16,VariableDeclarator,org.aksw.agdistis.algorithm.NEDAlgo_HITS,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,69,12,VariableDeclarator,org.aksw.agdistis.datatypes.Document,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,72,23,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntitiesInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,38,VariableDeclarator,java.util.HashMap,false (JRE),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,38,VariableDeclarator,org.aksw.agdistis.datatypes.NamedEntityInText,false (src),,,
src/test/java/AGDISTISTest.java,null,AGDISTISTest,testMinimalExample,73,38,VariableDeclarator,java.lang.String,false (JRE),,,
