filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
palmetto/src/main/java/org/aksw/palmetto/aggregation/Aggregation.java,org.aksw.palmetto.aggregation,Aggregation,getName,61,5,MethodDeclaration,java.lang.String,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,,20,40,ClassOrInterfaceType,org.aksw.palmetto.aggregation.Aggregation,false (src),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,summarize,22,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,getName,31,5,MethodDeclaration,java.lang.String,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,getName,31,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,toString,36,5,MethodDeclaration,java.lang.String,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,toString,36,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,toString,38,16,MethodCallExpr,org.aksw.palmetto.aggregation.ArithmeticMean,false (src),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,summarize,46,18,NameExpr,java.lang.Double,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,summarize,41,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/ArithmeticMean.java,org.aksw.palmetto.aggregation,ArithmeticMean,summarize,46,18,MethodCallExpr,java.lang.Double,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,,20,39,ClassOrInterfaceType,org.aksw.palmetto.aggregation.Aggregation,false (src),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,32,16,NameExpr,java.lang.Math,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,22,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,32,16,MethodCallExpr,java.lang.Math,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,getName,35,5,MethodDeclaration,java.lang.String,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,getName,35,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,toString,40,5,MethodDeclaration,java.lang.String,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,toString,40,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,toString,42,16,MethodCallExpr,org.aksw.palmetto.aggregation.GeometricMean,false (src),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,50,18,NameExpr,java.lang.Double,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,56,38,NameExpr,java.lang.Math,false (JRE),,,
palmetto/src/main/java/org/aksw/palmetto/aggregation/GeometricMean.java,org.aksw.palmetto.aggregation,GeometricMean,summarize,62,20,NameExpr,java.lang.Math,false (JRE),,,
