filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
zoie-perf/src/main/java/proj/zoie/perf/client/QueryHandler.java,proj.zoie.perf.client,QueryHandler,handleQuery,4,3,MethodDeclaration,null (Type variable),false (null),,,
zoie-perf/src/main/java/proj/zoie/perf/client/QueryHandler.java,proj.zoie.perf.client,QueryHandler,handleQuery,4,26,ClassOrInterfaceType,java.lang.Exception,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/QueryHandler.java,proj.zoie.perf.client,QueryHandler,getCurrentVersion,6,3,MethodDeclaration,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,17,44,ClassOrInterfaceType,proj.zoie.perf.client.QueryHandler,false (src),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,17,44,ClassOrInterfaceType,org.apache.lucene.search.TopDocs,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,19,25,VariableDeclarator,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,20,36,VariableDeclarator,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,21,24,VariableDeclarator,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,25,13,ObjectCreationExpr,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,30,21,ObjectCreationExpr,org.apache.lucene.search.TermQuery,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,30,35,ObjectCreationExpr,org.apache.lucene.index.Term,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,23,29,Parameter,java.io.File,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,23,45,Parameter,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,26,18,VariableDeclarator,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,26,18,VariableDeclarator,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,27,14,VariableDeclarator,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,24,5,NameExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,24,22,NameExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,25,5,NameExpr,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,25,24,NameExpr,java.lang.System,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,26,34,NameExpr,proj.zoie.perf.client.TermFileBuilder,false (src),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,26,59,NameExpr,java.io.File,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,27,27,NameExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,27,27,NameExpr,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,28,5,NameExpr,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,28,26,NameExpr,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,29,25,NameExpr,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,30,7,NameExpr,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
