filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,,20,10,ClassExpr,null,false (null),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,,20,1,SingleMemberAnnotationExpr,null,false (null),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,,21,1,MarkerAnnotationExpr,null,false (null),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,,25,18,VariableDeclarator,org.weiboad.ragnar.server.search.IndexService,false (src),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,,24,5,MarkerAnnotationExpr,null,false (null),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,29,27,ObjectCreationExpr,org.weiboad.ragnar.server.struct.MetaLog,false (src),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,61,17,ObjectCreationExpr,org.apache.lucene.search.MatchAllDocsQuery,true,org.apache.lucene:lucene-core,null,null
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,63,21,ObjectCreationExpr,org.apache.lucene.search.Sort,true,org.apache.lucene:lucene-core,null,null
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,63,30,ObjectCreationExpr,org.apache.lucene.search.SortField,true,org.apache.lucene:lucene-core,null,null
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,55,17,Parameter,java.lang.Exception,false (JRE),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,29,17,VariableDeclarator,org.weiboad.ragnar.server.struct.MetaLog,false (src),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,43,16,VariableDeclarator,java.lang.String,false (JRE),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,60,15,VariableDeclarator,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,63,14,VariableDeclarator,org.apache.lucene.search.Sort,true,org.apache.lucene:lucene-core,null,null
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,65,22,VariableDeclarator,org.weiboad.ragnar.server.struct.ResponseJson,false (src),,,
server/src/test/java/org/weiboad/ragnar/server/search/luceneTest.java,org.weiboad.ragnar.server.search,luceneTest,testLucene,54,13,FieldAccessExpr,java.util.concurrent.TimeUnit,false (JRE),,,
